"","sum_redescriptions","mean_redescriptions","count","min","mean","max","significant","interval_width"
"Accipitridae",9,0.36,25,-0.679615640739833,0.0136266115527964,0.715817664109817,"no",1.39543330484965
"Aegithalidae",2,2,1,-0.614051279850282,0.177352824131292,1.18487734518416,"no",1.79892862503444
"Alaudidae",0,0,2,-1.06268059455911,-0.103023761414887,0.70585208264686,"no",1.76853267720597
"Alcedinidae",0,0,3,-1.09719349670583,-0.127992187710103,0.701872501799267,"no",1.7990659985051
"Alcidae",5,0.217391304347826,23,-0.960340834152949,-0.16157334044251,0.475042531689438,"no",1.43538336584239
"Anatidae",19,0.316666666666667,60,-0.700094575143134,-0.0537062999400856,0.558464456156705,"no",1.25855903129984
"Anhingidae",0,0,1,-0.982328971789448,-0.0562599912771,0.776309386230949,"no",1.7586383580204
"Apodidae",0,0,6,-1.19880401067731,-0.197011904122391,0.564716013939256,"no",1.76352002461656
"Aramidae",0,0,1,-1.0237876224675,-0.0575131479638397,0.866937428474276,"no",1.89072505094178
"Ardeidae",8,0.533333333333333,15,-0.569014150549606,0.110868940659396,0.8860110618568,"no",1.45502521240641
"Bombycillidae",0,0,2,-1.02624990175997,-0.0821094348913777,0.761437280493451,"no",1.78768718225342
"Calcariidae",0,0,6,-1.20966091995951,-0.206902540905296,0.555387723391301,"no",1.76504864335081
"Caprimulgidae",2,0.333333333333333,6,-0.884541142287118,-0.0398900517555547,0.772417704972936,"no",1.65695884726005
"Cardinalidae",1,0.0714285714285714,14,-1.24422502480512,-0.268987079014383,0.426196008703438,"no",1.67042103350855
"Cathartidae",0,0,4,-1.15890424007882,-0.174447299925537,0.606573947517406,"no",1.76547818759623
"Charadriidae",8,0.533333333333333,15,-0.625279268548406,0.125496796865745,0.97545952410559,"no",1.600738792654
"Ciconiidae",0,0,2,-1.053638931934,-0.0934033480523818,0.753836214631698,"no",1.8074751465657
"Cinclidae",0,0,1,-1.02189399197019,-0.054559303052673,0.834631695309653,"no",1.85652568727985
"Columbidae",1,0.0588235294117647,17,-1.31143945373877,-0.325083650329297,0.357944042061847,"no",1.66938349580062
"Corvidae",19,1,19,-0.37700735572341,0.249127585489556,1.04883769957468,"no",1.42584505529809
"Cracidae",2,1,2,-0.670283170364055,0.143404931075128,1.12943760820967,"no",1.79972077857372
"Cuculidae",2,0.25,8,-0.960865068421932,-0.0787327511451422,0.680923794050968,"no",1.6417888624729
"Diomedeidae",2,0.25,8,-0.891520346272435,-0.0488085332709468,0.749009927357381,"no",1.64053027362982
"Emberizidae",34,0.755555555555556,45,-0.249813699095893,0.269571649000961,0.933343194004791,"no",1.18315689310068
"Falconidae",5,0.555555555555556,9,-0.627520158256453,0.137002030061718,1.05197410349915,"no",1.6794942617556
"Fregatidae",1,1,1,-0.751336942896238,0.099217056414947,1.08455210488264,"no",1.83588904777888
"Fringillidae",13,0.541666666666667,24,-0.545113352718978,0.0867565872570787,0.76975134036996,"no",1.31486469308894
"Gaviidae",4,0.8,5,-0.700758948102541,0.109081995910184,1.0329901550092,"no",1.73374910311174
"Gruidae",0,0,2,-1.08173248602967,-0.107573778071578,0.736677346569225,"no",1.8184098325989
"Haematopodidae",1,0.333333333333333,3,-0.8740785539753,0.00761558364722687,0.864454077106637,"no",1.73853263108194
"Hirundinidae",8,0.615384615384615,13,-0.468264910223817,0.189229136094866,0.996026558294693,"no",1.46429146851851
"Hydrobatidae",6,0.428571428571429,14,-0.905802517162084,-0.0776198051169408,0.667294749603288,"no",1.57309726676537
"Icteridae",18,0.692307692307692,26,-0.336846198332321,0.267715853557583,1.04467153966034,"no",1.38151773799266
"Jacanidae",0,0,1,-0.980564104274616,-0.0463427297568605,0.821674885108551,"no",1.80223898938317
"Laniidae",1,0.5,2,-0.807237367840013,0.0476570837520391,0.972885576119416,"no",1.78012294395943
"Laridae",9,0.209302325581395,43,-1.12823249758229,-0.318713046032527,0.291383833039981,"no",1.41961633062227
"Locustellidae",0,0,1,-1.00500015133809,-0.0425453783434553,0.840655528961832,"no",1.84565568029992
"Mimidae",0,0,11,-1.34857242203124,-0.2746446217496,0.464480466251683,"no",1.81305288828292
"Motacillidae",5,0.833333333333333,6,-0.455745065224128,0.261070688834664,1.25233720819923,"no",1.70808227342335
"Muscicapidae",0,0,3,-1.10313433224338,-0.116222167041427,0.721641301862973,"no",1.82477563410636
"Odontophoridae",1,0.166666666666667,6,-1.05298966257654,-0.129492480215016,0.647965069464333,"no",1.70095473204088
"Pandionidae",0,0,1,-1.01335527802285,-0.0553803901457481,0.820412541411903,"no",1.83376781943475
"Paridae",6,0.5,12,-0.742487045288324,0.0654611465561986,0.909220879954497,"no",1.65170792524282
"Parulidae",7,0.120689655172414,58,-1.45593645774962,-0.505692891132815,0.130859037730105,"no",1.58679549547972
"Passeridae",0,0,2,-1.0138842840111,-0.0671394796468109,0.792722422979224,"no",1.80660670699032
"Pelecanidae",2,1,2,-0.702760838462696,0.116937587364691,1.05277270403916,"no",1.75553354250185
"Peucedramidae",0,0,1,-1.02066119562979,-0.0524444142310326,0.833787745802744,"no",1.85444894143253
"Phaethontidae",1,0.333333333333333,3,-0.877690207642078,0.00965914732319689,0.883924479219395,"no",1.76161468686147
"Phalacrocoracidae",1,0.166666666666667,6,-0.958771304374161,-0.0523530777998844,0.78972001114685,"no",1.74849131552101
"Phasianidae",12,0.75,16,-0.378636314778413,0.261639600718772,1.07440158558551,"no",1.45303790036392
"Phoenicopteridae",1,1,1,-0.781515271199861,0.0684092874793544,1.00570618998095,"no",1.78722146118082
"Phylloscopidae",2,0.666666666666667,3,-0.65823338884163,0.136918782518952,1.12300218907651,"no",1.78123557791814
"Picidae",13,0.52,25,-0.606548473768717,0.0827617548513625,0.849898684243529,"no",1.45644715801225
"Podicipedidae",3,0.428571428571429,7,-0.748591100516636,0.039615796517338,0.863470268110258,"no",1.61206136862689
"Polioptilidae",4,1,4,-0.635518471495837,0.162141043183088,1.11397936800953,"no",1.74949783950537
"Procellariidae",15,0.652173913043478,23,-0.257930256978899,0.385250398624254,1.28972953769215,"no",1.54765979467105
"Prunellidae",0,0,1,-0.972768870168754,-0.0405178390758693,0.831100144940794,"no",1.80386901510955
"Psittacidae",0,0,2,-1.09606848056507,-0.0989485361930797,0.754757843824147,"no",1.85082632438922
"Ptiliogonatidae",0,0,1,-0.97888700239847,-0.0478149750783461,0.806958946321386,"no",1.78584594871986
"Rallidae",16,1.06666666666667,15,-0.372452285990964,0.289463620011805,1.12951904786677,"no",1.50197133385773
"Recurvirostridae",0,0,2,-1.07147649357637,-0.0954208695626145,0.727838996023475,"no",1.79931548959985
"Regulidae",0,0,2,-1.03170564736199,-0.0781944913948408,0.790066179140621,"no",1.82177182650261
"Remizidae",0,0,1,-1.01644516435258,-0.0513426291466828,0.820700077579,"no",1.83714524193158
"Scolopacidae",13,0.25,52,-0.722921716685631,-0.0447598133929408,0.593646433135393,"no",1.31656814982102
"Sittidae",0,0,4,-1.11767603158798,-0.114686502834065,0.735333582821656,"no",1.85300961440964
"Stercorariidae",2,0.5,4,-0.767808276752927,0.0573403439429467,0.963231954916444,"no",1.73104023166937
"Strigidae",3,0.176470588235294,17,-1.10964791662611,-0.223538765247228,0.447322416493819,"no",1.55697033311993
"Sturnidae",0,0,1,-0.998769822109027,-0.0502759430182518,0.826611062608039,"no",1.82538088471707
"Sulidae",6,1,6,-0.620103467034956,0.143375875014205,1.05685172489642,"no",1.67695519193138
"Sylviidae",0,0,1,-1.01114567963519,-0.0476316968111133,0.846829533915799,"no",1.85797521355099
"Thraupidae",1,0.25,4,-0.867596612382877,-0.0117419835803061,0.833767756971056,"no",1.70136436935393
"Threskiornithidae",0,0,6,-1.21093663792036,-0.207287706171424,0.55305132906172,"no",1.76398796698208
"Tityridae",0,0,1,-0.989244991406663,-0.0500941233041014,0.825759284296723,"no",1.81500427570339
"Trochilidae",1,0.0555555555555556,18,-1.30541127033305,-0.340696921234315,0.341132976994645,"no",1.64654424732769
"Troglodytidae",7,0.7,10,-0.556114768204149,0.142353643485085,0.939158753227059,"no",1.49527352143121
"Trogonidae",2,2,1,-0.592807003768064,0.194735100850727,1.21930027649986,"no",1.81210728026793
"Turdidae",3,0.2,15,-1.00362869808193,-0.148067467479548,0.530759941834504,"no",1.53438863991644
"Tyrannidae",13,0.371428571428571,35,-0.746009266237201,-0.0419250227644482,0.621313011296511,"no",1.36732227753371
"Tytonidae",1,1,1,-0.742297588806019,0.0966567737564987,1.04175039367682,"no",1.78404798248284
"Vireonidae",6,0.428571428571429,14,-0.738550342889685,0.0750277691533146,0.980948414006622,"no",1.71949875689631
